date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:36	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:33:36	8074/8074	---M-Z	200	added ('OK')	text/html	etag:%221f8a-649e0f12-e145352d64a21bef;gz%22	https://www.tarjetas.cool/modelos/cumple/encanto/	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/index.html	(from )
12:33:37	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionEncanto/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:37	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionEncanto/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:37	10468/10468	---M-Z	200	added ('OK')	text/css	etag:%2228e4-63a39cec-8d4a939276f6873f;gz%22	https://www.tarjetas.cool/modelos/cumple/encanto/css/styles.css?v=16	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/css/stylesfb74.css	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:37	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:38	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:38	126641/126641	---M--	200	added ('OK')	image/gif	etag:%221eeb1-63a39ced-3271bebf8aa099a5;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:39	210996/210996	---M--	200	added ('OK')	image/png	etag:%2233834-63a39ced-ba37ac8b734d17e8;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/1.png	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:39	42320/42320	---M--	200	added ('OK')	image/jpeg	etag:%22a550-63a39ced-bb8d14f2dababc01;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/foto1.jpg	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:39	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionEncanto/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:40	1731/1731	---M-Z	200	added ('OK')	application/x-javascript	etag:%226c3-63a39ced-5a4c83e7696c7475;gz%22	https://www.tarjetas.cool/modelos/cumple/encanto/js/card.js?v=16	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/js/cardfb74.js	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:40	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionEncanto/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:33:40	795427/795427	---M--	200	added ('OK')	image/png	etag:%22c2323-63a39cee-668abe5fc43e0e44;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/cinta.png	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:41	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionEncanto/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:33:41	84648/84648	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2214aa8-63a39ced-c75f8c6da4bd6990;gz%22	https://www.tarjetas.cool/modelos/cumple/encanto/fonts/Madrigal.ttf	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/fonts/Madrigal.ttf	(from https://www.tarjetas.cool/modelos/cumple/encanto/css/styles.css?v=16)
12:33:41	271530/271530	---M--	200	added ('OK')	image/png	etag:%22424aa-63a39ced-fdc2b4eb32181e2c;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/fondoppl.png?V=2	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/fondoppl9527.png	(from https://www.tarjetas.cool/modelos/cumple/encanto/css/styles.css?v=16)
12:33:42	2702899/2702899	---M--	200	added ('OK')	audio/mpeg	etag:%22293e33-63a39cef-a1358898539fb835;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/sounds/audio.mp3	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/sounds/audio.mp3	(from https://www.tarjetas.cool/modelos/cumple/encanto/)
12:33:42	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-63a39ced-68c89968536aea07;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/fondo.jpg	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/fondo.jpg	(from https://www.tarjetas.cool/modelos/cumple/encanto/css/styles.css?v=16)
12:33:42	70213/70213	---M--	200	added ('OK')	image/jpeg	etag:%2211245-63a39ced-1e4c129493f14b3;;;%22	https://www.tarjetas.cool/modelos/cumple/encanto/img/fondo_tarjeta.jpg?v=1	C:/Mis%20lugares%20Web/invitacionEncanto/www.tarjetas.cool/modelos/cumple/encanto/img/fondo_tarjeta3860.jpg	(from https://www.tarjetas.cool/modelos/cumple/encanto/css/styles.css?v=16)
12:33:43	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
